id,flight_type,year,month,flights_arrival,flights_departure,flights_total,pax_arrival,pax_departure,pax_total,cargo_arrival,cargo_departure,cargo_total,inserted_at,updated_at
35,domestic,2024,3,"15,571","15,571","31,142","2,501,598","2,501,598","5,003,196","16,429.6","16,429.6","32,859.2",2025-09-27 12:02:37.611292+00,2025-09-27 12:02:37.611292+00
36,domestic,2024,4,"15,636","15,636","31,272","2,698,502","2,698,502","5,397,004","17,482.8","17,482.8","34,965.6",2025-09-27 12:02:37.611292+00,2025-09-27 12:02:37.611292+00
37,domestic,2024,5,"16,179","16,179","32,358","2,792,202","2,792,202","5,584,404","17,518.9","17,518.9","35,037.9",2025-09-27 12:02:37.611292+00,2025-09-27 12:02:37.611292+00
38,domestic,2024,6,"15,903","15,903","31,806","2,678,562","2,678,562","5,357,124","15,887.3","15,887.3","31,774.6",2025-09-27 12:02:37.611292+00,2025-09-27 12:02:37.611292+00
39,domestic,2024,7,"16,068","16,068","32,136","2,592,542","2,592,542","5,185,084","15,866.4","15,866.4","31,732.7",2025-09-27 12:02:37.611292+00,2025-09-27 12:02:37.611292+00
40,domestic,2024,8,"16,211","16,211","32,422","2,789,011","2,789,011","5,578,022","18,228.3","18,228.3","36,456.5",2025-09-27 12:02:37.611292+00,2025-09-27 12:02:37.611292+00
41,domestic,2025,1,"14,235","14,235","28,470","2,278,124","2,278,124","4,556,248","15,875.6","15,875.6","31,751.2",2025-09-27 12:02:37.611292+00,2025-09-27 12:02:37.611292+00
42,domestic,2025,2,"12,271","12,271","24,542","1,991,315","1,991,315","3,982,630","13,492.9","13,492.9","26,985.7",2025-09-27 12:02:37.611292+00,2025-09-27 12:02:37.611292+00
43,domestic,2025,3,"14,170","14,170","28,340","2,213,234","2,213,234","4,426,468","15,205.2","15,205.2","30,410.3",2025-09-27 12:02:37.611292+00,2025-09-27 12:02:37.611292+00
44,domestic,2025,4,"14,980","14,980","29,960","2,479,159","2,479,159","4,958,318","16,417.2","16,417.2","32,834.3",2025-09-27 12:02:37.611292+00,2025-09-27 12:02:37.611292+00
45,domestic,2025,5,"15,510","15,510","31,020","2,640,729","2,640,729","5,281,458","16,918.6","16,918.6","33,837.3",2025-09-27 12:02:37.611292+00,2025-09-27 12:02:37.611292+00
46,domestic,2025,6,"15,228","15,228","30,456","2,585,611","2,585,611","5,171,222","15,497.3","15,497.3","30,994.7",2025-09-27 12:02:37.611292+00,2025-09-27 12:02:37.611292+00
47,domestic,2025,7,"15,651","15,651","31,302","2,610,557","2,610,557","5,221,114","16,032.1","16,032.1","32,064.1",2025-09-27 12:02:37.611292+00,2025-09-27 12:02:37.611292+00
48,domestic,2025,8,"15,887","15,887","31,774","2,744,217","2,744,217","5,488,434","17,757.4","17,757.4","35,514.8",2025-09-27 12:02:37.611292+00,2025-09-27 12:02:37.611292+00
