id,raw_no,lang,category,venue,event_name,period_raw,host_organizer,start_date,end_date
243,243,국문,전시일정,제1회의실 214-215호,부산수산무역엑스포 VIP 개막행사,20221102 0000~20221102 0000,벡스코,2022-11-02,2022-11-02
244,244,국문,전시일정,제1회의실 217-218호,네트워크 교류행사 (한국수산무역협회 주관),20221102 0000~20221102 0000,웍스아이(주),2022-11-02,2022-11-02
245,245,국문,전시일정,제1회의실 211-213호,한국양식기술 워크샵 2022,20221103 0000~20221103 0000,"아쿠아인포,주한노르웨이대사관, 한국수산과학회 양식분과",2022-11-03,2022-11-03
246,246,국문,전시일정,제1회의실  216-218호,수산식품 성장포럼 '아마존 특강',20221103 0000~20221103 0000,부산광역시,2022-11-03,2022-11-03
247,247,국문,전시일정,제1회의실 214-215호,해외유명수산전 주최사 초청 컨퍼런스,20221103 0000~20221103 0000,(주)로얄클래식,2022-11-03,2022-11-03
248,248,국문,전시일정,제1회의실 311-313호,한국수산과학총연합회 학술대회,20221103 0000~20221103 0000,한국수산과학회,2022-11-03,2022-11-03
249,249,국문,전시일정,2~3층 회의실 전체,한국수산과학총연합회 학술대회,20221104 0000~20221104 0000,한국수산과학회,2022-11-04,2022-11-04
250,250,국문,전시일정,제2전시장 4(A-C)홀,2022학년도 부산직업교육박람회,20221107 0900~20221109 1700,부산광역시교육청,2022-11-07,2022-11-09
251,251,국문,전시일정,"제1전시장 3A, 3B홀",2022 대한민국 지방자치 경영혁신 엑스포,20221110 1000~20221112 1700,"행정안전부, 한국일보",2022-11-10,2022-11-12
252,252,국문,전시일정,"제1전시장 1,2A홀",2022 대한민국 지방시대 엑스포 in 부산,20221110 0000~20221112 0000,부산광역시,2022-11-10,2022-11-12
253,253,국문,전시일정,제1전시장 2B홀,2022 KFA 프랜차이즈 창업박람회 부산,20221110 1000~20221112 1700,한국프랜차이즈산업협회 부울경지회,2022-11-10,2022-11-12
254,254,국문,전시일정," 컨벤션홀201,202,205호",2022 대한민국 게임대상,20221116 0000~00000000 0000,(사)한국게임산업협회/ 위두컴퍼니,2022-11-16,2022-11-16
255,255,국문,전시일정,벡스코 전관,국제게임전시회 지스타 2022,20221117 1000~20221120 1800,"한국게임산업협회 / 지스타조직위원회, 부산정보산업진흥원",2022-11-17,2022-11-20
256,256,국문,전시일정," 컨벤션홀 1층, 207,8호",G-CON X IGC 2022,20221117 0900~20221118 1800,(사)한국게임산업협회/ 믹스위드,2022-11-17,2022-11-18
257,257,국문,전시일정," 컨벤션홀 202,205호",2022 게임잡콘서트,20221119 0900~20221119 1700,,2022-11-19,2022-11-19
258,258,국문,전시일정,제2전시장 4(D-F)홀,FLY ASIA 2022 아시아 창업 엑스포,20221122 1000~20221124 1800,재단법인 부산테크노파크,2022-11-22,2022-11-24
259,259,국문,전시일정,제 1전시장 2A홀,2022부산가구박람회,20221124 1000~20221127 1800,(주)메세코리아,2022-11-24,2022-11-27
260,260,국문,전시일정,제1전시장 2A홀,2022 부산국제차.공예박람회(하),20221124 1000~20221127 1800,㈜메세코리아,2022-11-24,2022-11-27
261,261,국문,전시일정,제1전시장 1홀,2022 부산 유기농 친환경 귀농귀촌 박람회,20221124 1000~20221127 1800,"㈜메세코리아 ",2022-11-24,2022-11-27
262,262,국문,전시일정,제1전시장 1홀,2022 부산 국제식품 박람회,20221124 1000~20221127 1800,㈜메세코리아,2022-11-24,2022-11-27
263,263,국문,전시일정,제1전시장 2B홀,2022 부산홈리빙&생활용품 전시회(하),20221124 1000~20221127 1800,㈜메세코리아,2022-11-24,2022-11-27
264,264,국문,전시일정,제2전시장 4B홀,제18회 더골프쇼 in 부산 Autumn,20221124 0000~20221127 0000,(주)이엑스스포테인먼트,2022-11-24,2022-11-27
265,265,국문,전시일정,제 2전시장 4B홀,제48회 대한민국웨딩산업박람회,20221129 1000~20221129 1700,이주/(사)한국웨딩산업인협회,2022-11-29,2022-11-29
266,266,국문,전시일정,"제1전시장 3A, 3B홀",부산국제임신출산육아박람회(드림베이비페어) 하반기,20221201 0000~20221204 0000,드림코리아,2022-12-01,2022-12-04
267,267,국문,전시일정," 제2전시장 4홀 4C~F홀",2022 부산국제아트페어,20221201 0000~20221205 0000,사단법인 케이아트국제교류협회,2022-12-01,2022-12-05
268,268,국문,전시일정,제 2 전시장 4B홀,2022 BWC 부산 웨딩박람회,20221202 0000~20221204 0000,주식회사 비더블류씨,2022-12-02,2022-12-04
269,269,국문,전시일정," 제1전시장  2B홀",2022 블록체인 진흥주간,20221207 0900~20221209 1800,"과학기술정보통신부 / 한국인터넷진흥원, 부산광역시, 정보통신산업진흥원, 정보통신기획평가원",2022-12-07,2022-12-09
270,270,국문,전시일정,제2전시장 4C홀,2022 부산자원봉사자대회,20221208 1300~20221209 1600,부산광역시/부산광역시자원봉사센터,2022-12-08,2022-12-09
271,271,국문,전시일정," 제1전시장 2A홀",2022 부산핸드메이드페어 윈터,20221209 1000~20221211 1800,(주)마루컨벤션,2022-12-09,2022-12-11
272,272,국문,전시일정,"제1전시장 3A, 3B홀",2022 지산학 엑스포,20221212 0000~20221214 0000,부산광역시 / 한국과학기술단체총연합회,2022-12-12,2022-12-14
273,273,국문,전시일정,제1전시장 2B홀,2022 부산머니쇼,20221215 1000~20221217 1700,부산광역시/매일경제/벡스코,2022-12-15,2022-12-17
274,274,국문,전시일정," 제2전시장 4A홀, 4B홀",2022 부산 반려동물 박람회,20221216 0000~20221218 0000,(주)메세코리아,2022-12-16,2022-12-18
275,275,국문,전시일정," 제1전시장  3B홀",2022 항공여행마켓 with 마켓움 크리스마스 페어,20221217 1000~20221218 1700,"부산광역시, 한국공항공사 / 하우스 움, 벡스코 ",2022-12-17,2022-12-18
276,276,국문,전시일정," 제1전시장  1홀",테스트,20230101 0000~20230110 0000,,2023-01-01,2023-01-10
277,277,국문,전시일정," 제1전시장  2B홀",2023 설맞이 우수중소기업 및 농특산품 선물 박람회,20230113 1000~20230117 1800,새벽전람 / 부산MBC,2023-01-13,2023-01-17
278,278,국문,전시일정," 제1전시장  2홀",2023 제 34회 부산베이비페어&유아교육용품전,20230202 0000~20230205 0000,(주)블루케이,2023-02-02,2023-02-05
279,279,국문,전시일정," 제2전시장 4B홀",BWC 부산 웨딩박람회,20230204 0000~20230205 0000,주식회사 비더블류씨,2023-02-04,2023-02-05
280,280,국문,전시일정," 제1전시장  2홀",2023 부산 캠핑&레저차량박람회,20230210 1000~20230212 1800,(주)제이엠컴퍼니,2023-02-10,2023-02-12
281,281,국문,전시일정," 제1전시장  3A홀",제3회 제일창업박람회in 부산,20230216 1000~20230218 1700,"(주)제일좋은전람 / 제일창업경제신문 ",2023-02-16,2023-02-18
282,282,국문,전시일정," 제1전시장  1~2홀",2023 드론쇼 코리아,20230223 1000~20230225 1700,"산업통상자원부, 과학기술정보통신부, 국토교통부, 국방부, 부산광역시 /벡스코, 한국무인기시스템협회",2023-02-23,2023-02-25
283,283,국문,전시일정," 제1전시장  1, 2홀",2023 BAMA 제12회 부산국제화랑아트페어,20230302 0000~20230305 0000,(사)부산화랑협회,2023-03-02,2023-03-05
284,284,국문,전시일정," 제1전시장  1홀",2023 부산 건축 인테리어 전시회,20230309 1000~20230312 1800,부산MBC / (주)메세코리아,2023-03-09,2023-03-12
285,285,국문,전시일정," 제1전시장  1홀",2023 부산국제식품박람회,20230309 1000~20230312 1800,(주)메세코리아,2023-03-09,2023-03-12
286,286,국문,전시일정," 제2전시장 4B홀",제19회 더골프쇼 in 부산 spring,20230309 1000~20230312 1800,(주)이엑스스포테인먼트,2023-03-09,2023-03-12
287,287,국문,전시일정," 제1전시장  3B홀",유희왕 페스티벌 -부산 2023-,20230311 1000~20230312 1800,대원미디어,2023-03-11,2023-03-12
288,288,국문,전시일정," 제1전시장  2B홀",2023 제20회 상반기 카페위크 (부제:부산카페쇼),20230316 1000~20230319 1800,(주)블루케이,2023-03-16,2023-03-19
289,289,국문,전시일정," 제2전시장 4B홀",부산 결혼&출산장려협회 부산웨딩박람회 in 벡스코,20230317 0000~20230319 0000,부산결혼&출산장려협회/BWB,2023-03-17,2023-03-19
290,290,국문,전시일정," 제2전시장 4C홀~4F홀",부산 치의학 전시회 및 학술대회,20230318 0900~20230319 1800,"부산광역시  / 부산광역시 치과의사회, 부산경제진흥원",2023-03-18,2023-03-19
291,291,국문,전시일정," 제1전시장  3A,B홀",21회 성우하이텍배 KNN 환경마라톤,20230319 0730~20230319 1200,"KNN, 스포츠링크",2023-03-19,2023-03-19
292,292,국문,전시일정," 제1전시장  2B홀",2023 우수중소기업 및 농특산품 선물박람회,20230324 1000~20230328 1800,새벽전람 / 부산MBC,2023-03-24,2023-03-28
293,293,국문,전시일정," 제1전시장  2A",2030 부산 월드 엑스포 유치 기원 전시,20230330 1000~20230402 1800,제이케이산업연구원 / (사)2030 부산 월드 엑스포 범시민 유치 위원회 & 풀기획,2023-03-30,2023-04-02
294,294,국문,전시일정," 제1전시장  1홀",궁디팡팡 캣페스타,20230331 1000~20230402 1800,(주)캣페스타,2023-03-31,2023-04-02
295,295,국문,전시일정," 제1전시장  1홀",2023 부산베이비페어,20230406 1000~20230409 1800,(주)메세코리아,2023-04-06,2023-04-09
296,296,국문,전시일정," 제1전시장  3A홀",2023 부산 국제 차문화산업전,20230407 0000~20230410 0000,한국 차문화산업 협동조합/금샘,2023-04-07,2023-04-10
297,297,국문,전시일정," 제1전시장  2홀",제3회 대한민국 대표 축제 박람회,20230407 1000~20230409 1800,(사)한국지방신문협회/(주)한국전시산업원,2023-04-07,2023-04-09
298,298,국문,전시일정," 제1전시장 2B홀",2023 부산 홈리빙&생활용품 전시회(상),20230413 0000~20230416 0000,(주)메세코리아,2023-04-13,2023-04-16
299,299,국문,전시일정," 제2전시장 4D홀",KNN 웨딩박람회,20230414 0000~20230416 0000,더리본주식회사,2023-04-14,2023-04-16
300,300,국문,전시일정," 제2전시장 4A~4C홀",2023 SCF 서브컬쳐 페스티벌,20230415 1000~20230416 1800,주식회사 뮤즐리,2023-04-15,2023-04-16
301,301,국문,전시일정," 제 1전시장 2~3홀 & 해상전시장",2023 부산국제보트쇼,20230421 1000~20230423 1800,"해양수산부, 부산광역시 /  한국해양레저네트워크, 벡스코, 해양레저장비산업협회",2023-04-21,2023-04-23
302,302,국문,전시일정," 제2전시장 4홀",2023 대한민국 펫산업박람회(케이펫페어 부산),20230421 1000~20230423 1800,(사) 한국 펫사료협회/ (주)메쎄이상,2023-04-21,2023-04-23
