id,title,genre,location,seats,region,t_d,s_y,s_m,s_d,e_y,e_m,e_d
1482,싸이흠뻑쇼: SUMMERSWAG [대구],대중음악,대구스타디움,66422,대구,싸이흠뻑쇼: SUMMERSWAG [대구]|2025-08-09,2025,8,9,2025,8,9
1483,싸이흠뻑쇼: SUMMERSWAG [의정부],대중음악,의정부 종합운동장,28000,경기,싸이흠뻑쇼: SUMMERSWAG [의정부]|2025-07-05,2025,7,5,2025,7,5
1484,ENHYPEN WORLD TOUR: WALK THE LINE SUMMER EDITION [일본],대중음악,아지노모토 스타디움 (AJINOMOTO STADIUM),48013,,ENHYPEN WORLD TOUR: WALK THE LINE SUMMER EDITION [일본]|2025-07-05,2025,7,5,2025,8,3
1485,HIGHLIGHT LIVE: RIDE OR DIE,대중음악,올림픽공원,15000,서울,HIGHLIGHT LIVE: RIDE OR DIE|2025-07-11,2025,7,11,2025,7,13
1486,육성재 팬콘: THE BLUE JOURNEY,대중음악,장충체육관,4507,서울,육성재 팬콘: THE BLUE JOURNEY|2025-06-21,2025,6,21,2025,6,22
1487,BOYNEXTDOOR TOUR: KNOCK ON Vol.1 FINAL,대중음악,올림픽공원,15000,서울,BOYNEXTDOOR TOUR: KNOCK ON Vol.1 FINAL|2025-07-25,2025,7,25,2025,7,27
1488,잔나비 콘서트: 모든소년소녀들 [대구],대중음악,엑스코(exco),4000,대구,잔나비 콘서트: 모든소년소녀들 [대구]|2025-06-28,2025,6,28,2025,6,29
1489,tripleS A Live in Seoul,대중음악,장충체육관,4507,서울,tripleS A Live in Seoul|2025-07-12,2025,7,12,2025,7,13
1490,"라이브온 부산: 원위, 드래곤 포니",대중음악,벡스코 (BEXCO),4002,부산,"라이브온 부산: 원위, 드래곤 포니|2025-06-29",2025,6,29,2025,6,29
1491,ATEEZ WORLD TOUR: IN YOUR FANTASY [인천],대중음악,인스파이어,14483,인천,ATEEZ WORLD TOUR: IN YOUR FANTASY [인천]|2025-07-05,2025,7,5,2025,7,6
1492,허용별 콘서트: 보컬 전쟁 시즌2 The War of Vocalists Ⅱ [인천],대중음악,인스파이어,14483,인천,허용별 콘서트: 보컬 전쟁 시즌2 The War of Vocalists Ⅱ [인천]|2025-08-03,2025,8,3,2025,8,3
1493,World DJ Festival,대중음악,마쿠하리 메쎄,15000,,World DJ Festival|2025-06-28,2025,6,28,2025,6,29
1494,이승철 콘서트: 오케스트락2 [인천],대중음악,인스파이어,14483,인천,이승철 콘서트: 오케스트락2 [인천]|2025-08-02,2025,8,2,2025,8,2
1495,#RUNSEOKJIN_EP.TOUR LIVE PLAY [서울],대중음악,잠실종합운동장,11032,서울,#RUNSEOKJIN_EP.TOUR LIVE PLAY [서울]|2025-06-28,2025,6,28,2025,6,29
1496,"라이브온 부산: 로이킴, 정승환",대중음악,벡스코 (BEXCO),4002,부산,"라이브온 부산: 로이킴, 정승환|2025-06-28",2025,6,28,2025,6,28
1497,"TWS TOUR, 24/7: WITH: US IN SEOUL",대중음악,잠실종합운동장,11032,서울,"TWS TOUR, 24/7: WITH: US IN SEOUL|2025-06-20",2025,6,20,2025,6,22
1498,린 & 안성훈 투어콘서트: 바이올렛과 민트의 노래 [부산],대중음악,벡스코 (BEXCO),4002,부산,린 & 안성훈 투어콘서트: 바이올렛과 민트의 노래 [부산]|2025-07-19,2025,7,19,2025,7,19
1499,RIIZE CONCERT TOUR: RIIZING LOUD [서울],대중음악,올림픽공원,15000,서울,RIIZE CONCERT TOUR: RIIZING LOUD [서울]|2025-07-04,2025,7,4,2025,7,6
1500,에반게리온 윈드 심포니 [서울],서양음악(클래식),경희대학교 평화의전당,4500,서울,에반게리온 윈드 심포니 [서울]|2025-06-20,2025,6,20,2025,6,21
1501,테디태권발레 대명소노그룹어린이페스타,복합,서울어린이대공원,8000,서울,테디태권발레 대명소노그룹어린이페스타|2025-05-25,2025,5,25,2025,5,25
1502,잔나비 콘서트: 모든소년소녀들 [광주],대중음악,광주여자대학교,8337,광주,잔나비 콘서트: 모든소년소녀들 [광주]|2025-06-14,2025,6,14,2025,6,15
1503,"Xdinary Heroes, Beautiful Mind World Tour [대구]",대중음악,엑스코(exco),12000,대구,"Xdinary Heroes, Beautiful Mind World Tour [대구]|2025-07-20",2025,7,20,2025,7,20
1504,타임캡슐 슈퍼콘서트 전국투어 [전주],대중음악,한국소리문화의전당,7000,전북,타임캡슐 슈퍼콘서트 전국투어 [전주]|2025-07-05,2025,7,5,2025,7,5
1505,"Xdinary Heroes, Beautiful Mind World Tour [부산]",대중음악,벡스코 (BEXCO),4002,부산,"Xdinary Heroes, Beautiful Mind World Tour [부산]|2025-06-14",2025,6,14,2025,6,15
1506,"j-hope Tour: HOPE ON THE STAGE, FINAL [고양]",대중음악,고양종합운동장,43000,경기,"j-hope Tour: HOPE ON THE STAGE, FINAL [고양]|2025-06-13",2025,6,13,2025,6,14
1507,BLACKPINK WORLD TOUR [고양],대중음악,고양종합운동장,43000,경기,BLACKPINK WORLD TOUR [고양]|2025-07-05,2025,7,5,2025,7,6
1508,"NCT DREAM TOUR, THE DREAM SHOW 4: DREAM THE FUTURE",대중음악,고척스카이돔,16744,서울,"NCT DREAM TOUR, THE DREAM SHOW 4: DREAM THE FUTURE|2025-07-10",2025,7,10,2025,7,12
1509,설민석의 한국사 대모험: 안중근 [부산],뮤지컬,벡스코 (BEXCO),4002,부산,설민석의 한국사 대모험: 안중근 [부산]|2025-07-26,2025,7,26,2025,7,27
1510,BAEKHYUN WORLD TOUR: Reverie [서울],대중음악,올림픽공원,15000,서울,BAEKHYUN WORLD TOUR: Reverie [서울]|2025-06-07,2025,6,7,2025,6,8
1511,DOH KYUNG SOO ASIA CONCERT TOUR: DO it! [서울],대중음악,고려대학교 화정체육관,8057,서울,DOH KYUNG SOO ASIA CONCERT TOUR: DO it! [서울]|2025-07-19,2025,7,19,2025,7,20
1512,더파워풀 [인천],대중음악,인스파이어,14483,인천,더파워풀 [인천]|2025-06-27,2025,6,27,2025,6,29
1513,The 4th ASTROAD: Stargraphy [인천],대중음악,인스파이어,14483,인천,The 4th ASTROAD: Stargraphy [인천]|2025-06-07,2025,6,7,2025,6,8
1514,이승환 4집 HUMAN 발매 30주년 콘서트 [부산],대중음악,벡스코 (BEXCO),4002,부산,이승환 4집 HUMAN 발매 30주년 콘서트 [부산]|2025-06-21,2025,6,21,2025,6,21
1515,Weverse Con Festival: CON,대중음악,인스파이어,14483,인천,Weverse Con Festival: CON|2025-05-31,2025,5,31,2025,6,1
1516,DOYOUNG CONCERT: Doors,대중음악,잠실종합운동장,11032,서울,DOYOUNG CONCERT: Doors|2025-06-13,2025,6,13,2025,6,15
1517,"부산원아시아페스티벌 (BOF) , BIG CONCERT",대중음악,벡스코 (BEXCO),18000,부산,"부산원아시아페스티벌 (BOF) , BIG CONCERT|2025-06-11",2025,6,11,2025,6,13
1518,현역가왕2 전국투어 콘서트 [수원],대중음악,수원종합운동장,5145,경기,현역가왕2 전국투어 콘서트 [수원]|2025-08-23,2025,8,23,2025,8,23
1519,JJ LIN WORLD TOUR: JJ20 FINAL LAP [인천],대중음악,인스파이어,14483,인천,JJ LIN WORLD TOUR: JJ20 FINAL LAP [인천]|2025-06-14,2025,6,14,2025,6,15
1520,인천펜타포트 락 페스티벌,대중음악,송도달빛축제공원,30000,인천,인천펜타포트 락 페스티벌|2025-08-01,2025,8,1,2025,8,3
1521,ONF CONCERT: THE MAP: STRANGER’S PATH,대중음악,장충체육관,4507,서울,ONF CONCERT: THE MAP: STRANGER’S PATH|2025-05-31,2025,5,31,2025,6,1
1522,미스터트롯3 전국투어 콘서트 [부천],대중음악,부천실내체육관,5403,경기,미스터트롯3 전국투어 콘서트 [부천]|2025-07-26,2025,7,26,2025,7,27
1523,"빅3 시즌2, 행복한만남: 강진, 김용임, 진성 [부천]",대중음악,부천실내체육관,5403,경기,"빅3 시즌2, 행복한만남: 강진, 김용임, 진성 [부천]|2025-06-14",2025,6,14,2025,6,14
1524,KIM JAE JOONG ASIA TOUR CONCERT: Beauty in Chaos [서울],대중음악,장충체육관,4507,서울,KIM JAE JOONG ASIA TOUR CONCERT: Beauty in Chaos [서울]|2025-05-24,2025,5,24,2025,5,25
1525,넘버블록스 [부산],뮤지컬,벡스코 (BEXCO),4002,부산,넘버블록스 [부산]|2025-08-15,2025,8,15,2025,8,17
1526,이세계 페스티벌,대중음악,고척스카이돔,16744,서울,이세계 페스티벌|2025-05-16,2025,5,16,2025,5,17
1527,&TEAM CONCERT TOUR: AWAKEN THE BLOODLINE [서울],대중음악,잠실종합운동장,11032,서울,&TEAM CONCERT TOUR: AWAKEN THE BLOODLINE [서울]|2025-06-07,2025,6,7,2025,6,8
1528,멜로망스 전국투어 콘서트: Romance Station [부산],대중음악,벡스코 (BEXCO),4002,부산,멜로망스 전국투어 콘서트: Romance Station [부산]|2025-05-31,2025,5,31,2025,6,1
1529,소너스아카이브 콘서트: 카더가든x콜드x공기남 [부산],대중음악,벡스코 (BEXCO),4002,부산,소너스아카이브 콘서트: 카더가든x콜드x공기남 [부산]|2025-06-07,2025,6,7,2025,6,7
1530,현역가왕2 전국투어 콘서트 [광주],대중음악,광주여자대학교,8337,광주,현역가왕2 전국투어 콘서트 [광주]|2025-07-12,2025,7,12,2025,7,12
1531,DAY6 3RD WORLD TOUR: FOREVER YOUNG FINALE [서울],대중음악,올림픽공원,15000,서울,DAY6 3RD WORLD TOUR: FOREVER YOUNG FINALE [서울]|2025-05-09,2025,5,9,2025,5,18
1532,현역가왕2 전국투어 콘서트 [인천 남동],대중음악,인천남동체육관,8828,인천,현역가왕2 전국투어 콘서트 [인천 남동]|2025-07-05,2025,7,5,2025,7,5
1533,윤수일 콘서트 [부산],대중음악,벡스코 (BEXCO),4002,부산,윤수일 콘서트 [부산]|2025-05-17,2025,5,17,2025,5,17
1534,LUCY 일곱 번째 단독 콘서트: 와장창,대중음악,고려대학교 화정체육관,8057,서울,LUCY 일곱 번째 단독 콘서트: 와장창|2025-05-02,2025,5,2,2025,5,4
1535,권진아 단독 콘서트: The Dreamest,대중음악,잠실종합운동장,11032,서울,권진아 단독 콘서트: The Dreamest|2025-05-10,2025,5,10,2025,5,11
1536,잔나비 콘서트: 모든소년소녀들 [서울 송파],대중음악,잠실종합운동장,11032,서울,잔나비 콘서트: 모든소년소녀들 [서울 송파]|2025-04-26,2025,4,26,2025,5,4
1537,검정치마 단독 공연: LAST CHANCE TO COME BACK HOME,대중음악,장충체육관,4507,서울,검정치마 단독 공연: LAST CHANCE TO COME BACK HOME|2025-05-02,2025,5,2,2025,5,11
1538,유스웨더나잇 (Youth Weather Night),대중음악,문화비축기지,10000,서울,유스웨더나잇 (Youth Weather Night)|2025-05-03,2025,5,3,2025,5,4
1539,대구힙합페스티벌,대중음악,엑스코(exco),12000,대구,대구힙합페스티벌|2025-06-28,2025,6,28,2025,6,29
1540,LE SSERAFIM TOUR: EASY CRAZY HOT [인천],대중음악,인스파이어,14483,인천,LE SSERAFIM TOUR: EASY CRAZY HOT [인천]|2025-04-19,2025,4,19,2025,4,20
